iter	Passed	Remaining
497	911	918
498	912	916
499	913	913
500	915	911
501	917	909
502	918	907
503	920	905
504	921	903
505	922	900
506	923	898
507	925	895
508	926	893
509	927	891
510	928	888
511	929	886
512	933	885
513	934	883
514	935	881
515	936	878
516	938	876
517	939	874
518	940	871
519	941	869
520	943	867
521	944	864
522	945	862
523	947	860
524	948	858
525	949	856
526	951	853
527	952	851
528	953	849
529	954	846
530	955	844
531	957	841
532	958	839
533	959	837
534	961	835
535	962	833
536	964	831
537	965	829
538	966	826
539	968	824
540	969	822
541	970	820
542	972	818
543	973	816
544	975	814
545	976	811
546	978	809
547	979	807
548	980	805
549	982	803
550	983	801
551	984	799
552	986	797
553	987	795
554	988	792
555	990	791
556	992	789
557	993	787
558	994	784
559	996	782
560	997	780
561	998	778
562	1000	776
563	1001	774
564	1002	772
565	1004	769
566	1005	767
567	1007	765
568	1008	763
569	1009	761
570	1011	759
571	1012	757
572	1013	755
573	1015	753
574	1016	751
575	1017	748
576	1018	746
577	1020	745
578	1022	743
579	1023	741
580	1025	739
581	1026	737
582	1028	735
583	1029	733
584	1030	731
585	1031	729
586	1033	726
587	1034	724
588	1036	723
589	1037	720
590	1038	718
591	1040	716
592	1042	715
593	1043	713
594	1044	711
595	1046	709
596	1047	707
597	1049	705
598	1051	703
599	1052	701
600	1053	699
601	1055	697
602	1057	695
603	1058	693
604	1059	691
605	1060	689
606	1062	687
607	1063	685
608	1066	684
609	1068	682
610	1069	680
611	1070	678
612	1071	676
613	1073	674
614	1074	672
615	1075	670
616	1076	668
617	1077	666
618	1080	665
619	1082	663
620	1083	661
621	1084	659
622	1086	657
623	1088	655
624	1089	653
625	1090	651
626	1092	649
627	1093	647
628	1095	645
629	1096	643
630	1097	641
631	1099	640
632	1100	638
633	1102	636
634	1103	634
635	1104	632
636	1105	630
637	1106	628
638	1107	625
639	1109	624
640	1111	622
641	1112	620
642	1113	618
643	1114	616
644	1115	614
645	1117	612
646	1118	610
647	1119	608
648	1120	605
649	1121	603
650	1122	601
651	1123	599
652	1125	598
653	1126	596
654	1127	594
655	1128	591
656	1130	589
657	1131	587
658	1132	585
659	1133	583
660	1134	581
661	1135	579
662	1136	577
663	1137	575
664	1138	573
665	1140	572
666	1141	570
667	1142	568
668	1144	566
669	1145	564
670	1146	562
671	1147	559
672	1148	557
673	1149	555
674	1150	553
675	1151	551
676	1152	549
677	1154	548
678	1155	546
679	1156	544
680	1157	542
681	1158	540
682	1159	538
683	1160	536
684	1162	534
685	1163	532
686	1164	530
687	1165	528
688	1166	526
689	1167	524
690	1169	522
691	1171	521
692	1172	519
693	1174	517
694	1175	515
695	1176	513
696	1177	511
697	1178	509
698	1179	507
699	1180	506
700	1181	504
701	1183	502
702	1185	500
703	1187	499
704	1188	497
705	1189	495
706	1191	493
707	1192	491
708	1194	490
709	1195	488
710	1196	486
711	1200	485
712	1202	483
713	1203	482
714	1205	480
715	1206	478
716	1208	476
717	1209	475
718	1211	473
719	1214	472
720	1215	470
721	1217	468
722	1218	466
723	1219	464
724	1221	463
725	1222	461
726	1224	459
727	1225	457
728	1227	456
729	1228	454
730	1230	452
731	1231	451
732	1233	449
733	1234	447
734	1236	445
735	1237	443
736	1239	442
737	1240	440
738	1242	438
739	1244	437
740	1246	435
741	1247	433
742	1249	432
743	1250	430
744	1251	428
745	1253	426
746	1254	425
747	1256	423
748	1257	421
749	1259	419
750	1261	418
751	1262	416
752	1264	414
753	1265	412
754	1267	411
755	1268	409
756	1269	407
757	1271	405
758	1274	404
759	1276	403
760	1278	401
761	1281	400
762	1282	398
763	1284	396
764	1285	394
765	1288	393
766	1292	392
767	1296	391
768	1298	389
769	1299	388
770	1301	386
771	1303	384
772	1305	383
773	1307	381
774	1308	379
775	1310	378
776	1312	376
777	1313	374
778	1315	373
779	1318	371
780	1320	370
781	1321	368
782	1323	366
783	1325	365
784	1327	363
785	1328	361
786	1329	359
787	1331	358
788	1332	356
789	1333	354
790	1335	352
791	1337	351
792	1339	349
793	1340	347
794	1341	346
795	1344	344
796	1345	342
797	1350	341
798	1352	340
799	1353	338
800	1355	336
801	1356	334
802	1357	333
803	1359	331
804	1360	329
805	1362	327
806	1364	326
807	1365	324
808	1367	322
809	1368	321
810	1370	319
811	1371	317
812	1372	315
813	1374	314
814	1375	312
815	1377	310
816	1379	308
817	1380	307
818	1381	305
819	1383	303
820	1384	301
821	1385	300
822	1387	298
823	1388	296
824	1389	294
825	1391	293
826	1393	291
827	1395	289
828	1396	288
829	1397	286
830	1399	284
831	1400	282
832	1401	280
833	1402	279
834	1403	277
835	1404	275
836	1406	273
837	1407	272
838	1409	270
839	1410	268
840	1411	266
841	1413	265
842	1414	263
843	1415	261
844	1416	259
845	1417	258
846	1419	256
847	1420	254
848	1421	252
849	1423	251
850	1424	249
851	1425	247
852	1427	245
853	1428	244
854	1429	242
855	1430	240
856	1432	238
857	1433	237
858	1434	235
859	1435	233
860	1437	232
861	1439	230
862	1440	228
863	1442	227
864	1443	225
865	1445	223
866	1447	221
867	1448	220
868	1450	218
869	1453	217
870	1455	215
871	1456	213
872	1457	212
873	1459	210
874	1460	208
875	1462	206
876	1463	205
877	1464	203
878	1467	202
879	1469	200
880	1470	198
881	1471	196
882	1473	195
883	1474	193
884	1476	191
885	1477	190
886	1478	188
887	1480	186
888	1483	185
889	1484	183
890	1485	181
891	1487	180
892	1488	178
893	1490	176
894	1491	174
895	1493	173
896	1494	171
897	1496	169
898	1498	168
899	1499	166
900	1501	164
901	1502	163
902	1503	161
903	1505	159
904	1506	158
905	1507	156
906	1508	154
907	1511	153
908	1513	151
909	1514	149
910	1517	148
911	1519	146
912	1520	144
913	1522	143
914	1523	141
915	1524	139
916	1527	138
917	1529	136
918	1531	134
919	1533	133
920	1534	131
921	1536	129
922	1537	128
923	1538	126
924	1539	124
925	1543	123
926	1544	121
927	1546	119
928	1547	118
929	1548	116
930	1550	114
931	1551	113
932	1552	111
933	1554	109
934	1555	108
935	1556	106
936	1558	104
937	1559	103
938	1560	101
939	1562	99
940	1563	98
941	1564	96
942	1565	94
943	1567	92
944	1568	91
945	1569	89
946	1572	88
947	1574	86
948	1575	84
949	1576	82
950	1577	81
951	1579	79
952	1580	77
953	1581	76
954	1582	74
955	1583	72
956	1585	71
957	1588	69
958	1589	67
959	1590	66
960	1591	64
961	1593	62
962	1594	61
963	1595	59
964	1596	57
965	1598	56
966	1599	54
967	1602	52
968	1603	51
969	1604	49
970	1606	47
971	1607	46
972	1608	44
973	1609	42
974	1611	41
975	1612	39
976	1613	37
977	1614	36
978	1617	34
979	1618	33
980	1620	31
981	1621	29
982	1622	28
983	1623	26
984	1624	24
985	1626	23
986	1628	21
987	1629	19
988	1632	18
989	1634	16
990	1635	14
991	1636	13
992	1638	11
993	1639	9
994	1641	8
995	1642	6
996	1644	4
997	1646	3
998	1648	1
999	1649	0
